#Node Time X Y
55 20.0 9435.967864214763 9500.0
55 22.0 9395.967864214763 9500.0
55 24.0 9355.967864214763 9500.0
55 26.0 9315.967864214761 9499.999999999998
55 28.0 9275.967864214763 9500.0
55 30.0 9235.967864214763 9500.0
55 32.0 9195.967864214763 9500.0
55 34.0 9155.967864214763 9500.0
55 36.0 9115.967864214763 9500.0
55 38.0 9075.967864214763 9500.0
55 40.0 9035.967864214763 9500.0
55 42.0 8995.967864214763 9500.0
55 44.0 8955.967864214763 9500.0
55 46.0 8915.967864214763 9500.0
55 48.0 8875.967864214763 9500.0
55 50.0 8835.967864214763 9500.0
55 52.0 8795.967864214763 9500.0
55 54.0 8755.967864214763 9500.0
55 56.0 8715.967864214763 9500.0
55 58.0 8675.967864214763 9500.0
55 60.0 8635.967864214763 9500.0
55 62.0 8595.967864214763 9500.0
55 64.0 8555.967864214763 9500.0
55 66.0 8515.967864214763 9500.0
55 68.0 8475.967864214763 9500.0
55 70.0 8435.967864214763 9500.0
55 72.0 8395.967864214763 9500.0
55 74.0 8355.967864214763 9500.0
55 76.0 8315.967864214763 9500.0
55 78.0 8275.967864214763 9500.0
55 80.0 8235.967864214763 9500.0
55 82.0 8195.967864214763 9500.0
55 84.0 8155.967864214763 9500.0
55 86.0 8115.967864214763 9500.0
55 88.0 8075.967864214763 9500.0
55 90.0 8035.967864214763 9500.0
55 92.0 8000.0 9495.967864214763
55 94.0 8000.0 9455.967864214763
55 96.0 8000.0 9415.967864214763
55 98.0 8000.0 9375.967864214763
55 100.0 8000.0 9335.967864214763
55 102.0 8000.0 9295.967864214763
55 104.0 8000.0 9255.967864214763
55 106.0 8000.000000000001 9215.967864214763
55 108.0 8000.0 9175.967864214763
55 110.0 8000.0 9135.967864214763
55 112.0 8000.0 9095.967864214763
55 114.0 7999.999999999999 9055.967864214763
55 116.0 8000.0 9015.967864214763
55 118.0 8000.0 8975.967864214763
55 120.0 8000.0 8935.967864214763
55 122.0 8000.0 8895.967864214763
55 124.0 8000.0 8855.967864214763
55 126.0 8000.0 8815.967864214763
55 128.0 8000.0 8775.967864214763
55 130.0 8000.0 8735.967864214763
55 132.0 8000.0 8695.967864214763
55 134.0 8000.0 8655.967864214763
55 136.0 8000.0 8615.967864214763
55 138.0 8000.0 8575.967864214763
55 140.0 8000.0 8535.967864214763
55 142.0 7995.967864214763 8500.0
55 144.0 7955.967864214763 8500.0
55 146.0 7915.967864214762 8500.0
55 148.0 7875.967864214763 8500.0
55 150.0 7835.967864214763 8500.0
55 152.0 7795.967864214763 8500.0
55 154.0 7755.967864214763 8500.0
55 156.0 7715.967864214763 8500.0
55 158.0 7675.967864214763 8500.0
55 160.0 7635.967864214763 8500.0
56 0.0 2338.462520710864 2500.0
56 2.0 2378.462520710864 2500.0
56 4.0 2418.462520710864 2500.0
56 6.0 2458.462520710864 2500.0
56 8.0 2498.462520710864 2500.0
56 10.0 2500.0 2538.462520710864
56 12.0 2500.0 2578.462520710864
56 14.0 2500.0 2618.462520710864
56 16.0 2500.0 2658.462520710864
56 18.0 2499.9999999999995 2698.4625207108634
56 20.0 2500.0 2738.462520710864
56 22.0 2500.0 2778.462520710864
56 24.0 2500.0 2818.462520710864
56 26.0 2500.0 2858.462520710864
56 28.0 2500.0 2898.462520710864
56 30.0 2500.0 2938.462520710864
56 32.0 2500.0 2978.462520710864
56 34.0 2500.0 3018.462520710864
56 36.0 2500.0 3058.462520710864
56 38.0 2500.0 3098.462520710864
56 40.0 2500.0 3138.462520710864
56 42.0 2500.0 3178.462520710864
56 44.0 2500.0 3218.462520710864
56 46.0 2500.0 3258.462520710864
56 48.0 2500.0 3298.462520710864
56 50.0 2500.0 3338.462520710864
56 52.0 2500.0 3378.462520710864
56 54.0 2500.0 3418.462520710864
56 56.0 2500.0 3458.462520710864
56 58.0 2500.0 3498.462520710864
56 60.0 2500.0 3538.462520710864
56 62.0 2500.0 3578.462520710864
56 64.0 2500.0 3618.462520710864
56 66.0 2500.0 3658.462520710864
56 68.0 2500.0 3698.462520710864
56 70.0 2500.0 3738.462520710864
56 72.0 2500.0 3778.462520710864
56 74.0 2500.0 3818.462520710864
56 76.0 2500.0 3858.462520710864
56 78.0 2500.0 3898.462520710864
56 80.0 2500.0 3938.462520710864
56 82.0 2500.0 3978.462520710864
56 84.0 2518.462520710864 4000.0
56 86.0 2558.462520710864 4000.0
56 88.0 2598.462520710864 4000.0
56 90.0 2638.462520710864 4000.0
56 92.0 2678.462520710864 4000.0
56 94.0 2718.462520710864 4000.0
56 96.0 2758.462520710864 4000.0
56 98.0 2798.462520710864 4000.0000000000005
56 100.0 2838.462520710864 4000.0
56 102.0 2878.462520710864 4000.0
56 104.0 2918.462520710864 4000.0
56 106.0 2958.462520710864 3999.9999999999995
56 108.0 2998.462520710864 4000.0
56 110.0 3038.462520710864 4000.0
56 112.0 3078.462520710864 4000.0
56 114.0 3118.462520710864 4000.0
56 116.0 3158.462520710864 4000.0
56 118.0 3198.462520710864 4000.0
56 120.0 3238.462520710864 4000.0
56 122.0 3278.462520710864 4000.0
56 124.0 3318.462520710864 4000.0
56 126.0 3358.462520710864 4000.0
56 128.0 3398.462520710864 4000.0
56 130.0 3438.462520710864 4000.0
56 132.0 3478.462520710864 4000.0
56 134.0 3499.9999999999995 4018.4625207108634
56 136.0 3500.0 4058.462520710864
56 138.0 3500.0000000000005 4098.462520710864
56 140.0 3500.0 4138.462520710864
56 142.0 3499.9999999999995 4178.462520710863
56 144.0 3500.0 4218.462520710863
56 146.0 3500.0 4258.462520710863
56 148.0 3500.0 4298.462520710863
56 150.0 3500.0 4338.462520710863
56 152.0 3500.0 4378.462520710862
